bidder_id,status,reason
BID00001,Clear,
BID00002,Clear,
BID00003,Clear,
BID00004,Clear,
BID00005,Clear,
BID00006,Clear,
BID00007,Blacklisted,Non-performance on prior contract
BID00008,Clear,
BID00009,Clear,
BID00010,Clear,
BID00011,Clear,
BID00012,Clear,
BID00013,Clear,
BID00014,Clear,
BID00015,Clear,
BID00016,Clear,
BID00017,Clear,
BID00018,Clear,
BID00019,Clear,
BID00020,Clear,
BID00021,Clear,
BID00022,Clear,
BID00023,Clear,
BID00024,Clear,
BID00025,Clear,
BID00026,Clear,
BID00027,Clear,
BID00028,Clear,
BID00029,Blacklisted,Quality non-conformance
BID00030,Clear,
BID00031,Clear,
BID00032,Clear,
BID00033,Clear,
BID00034,Clear,
BID00035,Clear,
BID00036,Clear,
BID00037,Clear,
BID00038,Clear,
BID00039,Clear,
BID00040,Clear,
BID00041,Clear,
BID00042,Clear,
BID00043,Clear,
BID00044,Clear,
BID00045,Clear,
BID00046,Clear,
BID00047,Clear,
BID00048,Clear,
BID00049,Clear,
BID00050,Clear,
BID00051,Clear,
BID00052,Clear,
BID00053,Clear,
BID00054,Clear,
BID00055,Clear,
BID00056,Clear,
BID00057,Clear,
BID00058,Clear,
BID00059,Clear,
BID00060,Clear,
BID00061,Clear,
BID00062,Clear,
BID00063,Blacklisted,Non-performance on prior contract
BID00064,Clear,
BID00065,Clear,
BID00066,Clear,
BID00067,Clear,
BID00068,Clear,
BID00069,Clear,
BID00070,Clear,
BID00071,Blacklisted,Non-performance on prior contract
BID00072,Clear,
BID00073,Clear,
BID00074,Clear,
BID00075,Clear,
BID00076,Clear,
BID00077,Clear,
BID00078,Clear,
BID00079,Clear,
BID00080,Clear,
BID00081,Clear,
BID00082,Clear,
BID00083,Clear,
BID00084,Clear,
BID00085,Clear,
BID00086,Clear,
BID00087,Clear,
BID00088,Clear,
BID00089,Clear,
BID00090,Clear,
BID00091,Clear,
BID00092,Clear,
BID00093,Clear,
BID00094,Clear,
BID00095,Clear,
BID00096,Clear,
BID00097,Clear,
BID00098,Clear,
BID00099,Clear,
BID00100,Clear,
BID00101,Clear,
BID00102,Clear,
BID00103,Clear,
BID00104,Clear,
BID00105,Clear,
BID00106,Clear,
BID00107,Clear,
BID00108,Clear,
BID00109,Clear,
BID00110,Clear,
BID00111,Clear,
BID00112,Clear,
BID00113,Clear,
BID00114,Clear,
BID00115,Clear,
BID00116,Clear,
BID00117,Clear,
BID00118,Clear,
BID00119,Clear,
BID00120,Clear,
BID00121,Clear,
BID00122,Clear,
BID00123,Clear,
BID00124,Clear,
BID00125,Clear,
BID00126,Clear,
BID00127,Clear,
BID00128,Clear,
BID00129,Clear,
BID00130,Clear,
BID00131,Clear,
BID00132,Clear,
BID00133,Clear,
BID00134,Clear,
BID00135,Clear,
BID00136,Clear,
BID00137,Clear,
BID00138,Clear,
BID00139,Clear,
BID00140,Clear,
BID00141,Clear,
BID00142,Clear,
BID00143,Clear,
BID00144,Clear,
BID00145,Clear,
BID00146,Clear,
BID00147,Clear,
BID00148,Clear,
BID00149,Clear,
BID00150,Clear,
