bidder_id,applicable,establishment_code,status
BID00001,False,,N/A
BID00002,True,EPFO479201,Compliant
BID00003,True,EPFO279451,Compliant
BID00004,True,EPFO581141,Compliant
BID00005,True,EPFO542666,Compliant
BID00006,True,EPFO211579,Compliant
BID00007,False,,N/A
BID00008,True,EPFO804314,Compliant
BID00009,True,EPFO392004,Compliant
BID00010,False,,N/A
BID00011,False,,N/A
BID00012,True,EPFO712554,Lapsed
BID00013,False,,N/A
BID00014,False,,N/A
BID00015,True,EPFO240814,Compliant
BID00016,True,EPFO217308,Compliant
BID00017,True,EPFO470858,Compliant
BID00018,True,EPFO213346,Compliant
BID00019,True,EPFO984642,Compliant
BID00020,False,,N/A
BID00021,True,EPFO415568,Compliant
BID00022,True,EPFO125611,Lapsed
BID00023,False,,N/A
BID00024,False,,N/A
BID00025,False,,N/A
BID00026,False,,N/A
BID00027,True,EPFO885408,Compliant
BID00028,False,,N/A
BID00029,False,,N/A
BID00030,True,EPFO869440,Compliant
BID00031,False,,N/A
BID00032,True,EPFO614663,Compliant
BID00033,True,EPFO874483,Lapsed
BID00034,True,EPFO600935,Compliant
BID00035,False,,N/A
BID00036,False,,N/A
BID00037,True,EPFO385470,Compliant
BID00038,False,,N/A
BID00039,True,EPFO676818,Compliant
BID00040,True,EPFO313446,Compliant
BID00041,False,,N/A
BID00042,False,,N/A
BID00043,False,,N/A
BID00044,False,,N/A
BID00045,False,,N/A
BID00046,False,,N/A
BID00047,False,,N/A
BID00048,False,,N/A
BID00049,False,,N/A
BID00050,False,,N/A
BID00051,True,EPFO749641,Compliant
BID00052,True,EPFO262029,Compliant
BID00053,False,,N/A
BID00054,True,EPFO666456,Compliant
BID00055,False,,N/A
BID00056,False,,N/A
BID00057,True,EPFO865054,Compliant
BID00058,False,,N/A
BID00059,True,EPFO738577,Compliant
BID00060,False,,N/A
BID00061,False,,N/A
BID00062,True,EPFO878086,Lapsed
BID00063,False,,N/A
BID00064,True,EPFO618119,Compliant
BID00065,True,EPFO996840,Compliant
BID00066,False,,N/A
BID00067,True,EPFO257677,Compliant
BID00068,False,,N/A
BID00069,False,,N/A
BID00070,True,EPFO698128,Compliant
BID00071,True,EPFO398910,Compliant
BID00072,True,EPFO203896,Compliant
BID00073,True,EPFO738457,Compliant
BID00074,False,,N/A
BID00075,True,EPFO474440,Compliant
BID00076,True,EPFO955015,Compliant
BID00077,False,,N/A
BID00078,True,EPFO144412,Compliant
BID00079,False,,N/A
BID00080,False,,N/A
BID00081,True,EPFO404466,Compliant
BID00082,False,,N/A
BID00083,False,,N/A
BID00084,True,EPFO690996,Compliant
BID00085,False,,N/A
BID00086,False,,N/A
BID00087,True,EPFO151021,Compliant
BID00088,True,EPFO234913,Compliant
BID00089,False,,N/A
BID00090,True,EPFO856442,Compliant
BID00091,False,,N/A
BID00092,False,,N/A
BID00093,True,EPFO883641,Compliant
BID00094,False,,N/A
BID00095,True,EPFO991638,Compliant
BID00096,False,,N/A
BID00097,False,,N/A
BID00098,True,EPFO823821,Compliant
BID00099,True,EPFO813390,Compliant
BID00100,False,,N/A
BID00101,False,,N/A
BID00102,False,,N/A
BID00103,False,,N/A
BID00104,True,EPFO345536,Compliant
BID00105,False,,N/A
BID00106,True,EPFO988283,Compliant
BID00107,True,EPFO837954,Compliant
BID00108,True,EPFO147936,Compliant
BID00109,True,EPFO772865,Compliant
BID00110,False,,N/A
BID00111,True,EPFO649857,Compliant
BID00112,False,,N/A
BID00113,False,,N/A
BID00114,False,,N/A
BID00115,False,,N/A
BID00116,False,,N/A
BID00117,False,,N/A
BID00118,True,EPFO405605,Compliant
BID00119,True,EPFO319832,Compliant
BID00120,False,,N/A
BID00121,True,EPFO510133,Compliant
BID00122,False,,N/A
BID00123,True,EPFO584498,Compliant
BID00124,False,,N/A
BID00125,True,EPFO718836,Compliant
BID00126,False,,N/A
BID00127,False,,N/A
BID00128,True,EPFO913308,Compliant
BID00129,True,EPFO406849,Compliant
BID00130,True,EPFO705474,Compliant
BID00131,False,,N/A
BID00132,True,EPFO312146,Compliant
BID00133,False,,N/A
BID00134,False,,N/A
BID00135,True,EPFO246814,Compliant
BID00136,True,EPFO297810,Compliant
BID00137,False,,N/A
BID00138,True,EPFO262924,Compliant
BID00139,False,,N/A
BID00140,True,EPFO274987,Compliant
BID00141,True,EPFO334026,Lapsed
BID00142,False,,N/A
BID00143,True,EPFO146032,Compliant
BID00144,True,EPFO178315,Compliant
BID00145,True,EPFO830729,Compliant
BID00146,True,EPFO307757,Lapsed
BID00147,False,,N/A
BID00148,False,,N/A
BID00149,True,EPFO507247,Compliant
BID00150,True,EPFO872863,Compliant
