bidder_id,gstin,registered_name,filing_status,status
BID00001,09KAFFQ6577N1Z2,Universal Enterprises Ltd,Up to date,Active
BID00002,19CJJCL6875M1ZY,Bharat Manufacturing Co LLP,Up to date,Active
BID00003,29ZWWFM2633G1ZX,Sai Suppliers LLP,Up to date,Active
BID00004,29ZQOCV3708Z1Z9,Precision Constructions LLP,Up to date,Active
BID00005,27TLPCL2950B1ZD,Universal Exports LLP,Up to date,Active
BID00006,07GOYCV7652U1ZR,Vintage Steel Works Ltd,Up to date,Active
BID00007,03JEYCQ9541L1Z4,Metro Manufacturing Co Private Limited,Up to date,Active
BID00008,27DMOCI5699Y1Z0,National Exports Private Limited,Up to date,Active
BID00009,07GBACR2206H1ZL,Metro Steel Works Pvt Ltd,Up to date,Active
BID00010,19UUECD6348B1Z2,Bharat Electronics Private Limited,Up to date,Active
BID00011,36LKHCH8088D1ZF,Modern Manufacturing Co Ltd,Up to date,Active
BID00012,06WXECA9274N1Z8,Elite Electronics Private Limited,Up to date,Active
BID00013,24YCEPT0849S1Z8,Metro Infra Solutions Pvt Ltd,Up to date,Active
BID00014,29SGKCV6499A1ZY,Krishna Manufacturing Co,Up to date,Active
BID00015,29JEVCW3985V1ZZ,Apex Enterprises Private Limited,Up to date,Active
BID00016,09HFIFV6249B1ZJ,Universal Technologies LLP,Not filed since last FY,Active
BID00017,27VPDFE0399B1Z9,Bharat Exports Pvt Ltd,Up to date,Active
BID00018,36WZVFN0739Z1ZT,Reliable Technologies Private Limited,Up to date,Active
BID00019,33VLHCZ8263I1ZN,Elite Suppliers Private Limited,Up to date,Active
BID00020,29PZAPT4736Q1Z2,United  Electricals  Private  Limited,Up to date,Active
BID00021,27WSHCJ6365G1ZN,Prime Textiles,Up to date,Active
BID00022,33LPRFO4657Z1ZO,Vishal Fabricators Private Limited,Pending - 2 quarters,Active
BID00023,27KQFPW3316Y1ZF,Vintage Enterprises & Co,Pending - 2 quarters,Active
BID00024,36PSNCR4184Y1ZJ,Universal Textiles & Co,Up to date,Active
BID00025,19CDJCE7045N1ZS,Prime Textiles Ltd,Up to date,Active
BID00026,23AJTCN5778P1ZT,Continental Constructions & Co,Up to date,Active
BID00027,21QDMCB2343M1Z4,Sterling Traders Pvt Ltd,Up to date,Active
BID00028,29BYBPA9101E1ZW,Apex Suppliers,Up to date,Active
BID00029,09CAICV9391S1ZW,United Infra Solutions LLP,Up to date,Active
BID00030,36NRBFU3881L1ZE,Continental Engineering Works LLP,Up to date,Active
BID00031,29MVPCK8808H1ZC,Vintage Exports & Co,Up to date,Active
BID00032,06IWSCI5512N1ZL,Modern Logistics LLP,Up to date,Active
BID00033,24RHPCP5395L1ZS,Vishal Suppliers and Company,Up to date,Active
BID00034,24VHJFJ0529R1Z0,Metro  Fabricators  Pvt  Ltd,Up to date,Active
BID00035,27QBDCS9025N1ZD,Elite Enterprises Ltd,Up to date,Active
BID00036,21YCTCU2611C1ZY,Vintage Engineering Works Ltd,Up to date,Active
BID00037,09RYUCU5811H1ZZ,VISHAL STEEL WORKS PVT LTD,Up to date,Active
BID00038,29TPACH9859Y1ZN,National Engineering Works & Co,Up to date,Active
