bidder_id,startup_india_recognized,startup_recognition_number,nsic_registered,nsic_number
BID00001,False,,True,NSIC30926
BID00002,False,,False,
BID00003,False,,False,
BID00004,False,,False,
BID00005,False,,False,
BID00006,False,,False,
BID00007,False,,False,
BID00008,False,,False,
BID00009,False,,False,
BID00010,False,,False,
BID00011,False,,False,
BID00012,False,,False,
BID00013,False,,True,NSIC86503
BID00014,False,,False,
BID00015,False,,False,
BID00016,False,,False,
BID00017,False,,False,
BID00018,False,,False,
BID00019,False,,False,
BID00020,False,,True,NSIC66531
BID00021,False,,False,
BID00022,False,,False,
BID00023,True,DIPP27477,False,
BID00024,False,,True,NSIC20155
BID00025,True,DIPP86556,False,
BID00026,True,DIPP26728,False,
BID00027,False,,False,
BID00028,False,,True,NSIC58351
BID00029,False,,False,
BID00030,False,,False,
BID00031,False,,True,NSIC74789
BID00032,False,,False,
BID00033,False,,False,
BID00034,False,,False,
BID00035,False,,True,NSIC87139
BID00036,True,DIPP71592,False,
BID00037,False,,False,
BID00038,False,,True,NSIC78021
BID00039,False,,False,
BID00040,False,,False,
BID00041,True,DIPP30181,False,
BID00042,True,DIPP76550,False,
BID00043,True,DIPP63841,False,
BID00044,True,DIPP63736,False,
BID00045,False,,True,NSIC99705
BID00046,True,DIPP91226,False,
BID00047,False,,True,NSIC42780
BID00048,False,,False,
BID00049,True,DIPP27224,False,
BID00050,False,,False,
BID00051,False,,False,
BID00052,False,,False,
BID00053,True,DIPP88269,False,
BID00054,False,,False,
BID00055,True,DIPP24293,False,
BID00056,True,DIPP52622,False,
BID00057,False,,False,
BID00058,False,,True,NSIC56346
BID00059,False,,False,
BID00060,False,,False,
BID00061,False,,False,
BID00062,False,,False,
BID00063,False,,False,
BID00064,False,,False,
BID00065,False,,False,
BID00066,True,DIPP55015,False,
BID00067,False,,False,
BID00068,False,,False,
BID00069,False,,True,NSIC33703
BID00070,False,,False,
BID00071,False,,False,
BID00072,False,,False,
BID00073,False,,False,
BID00074,False,,True,NSIC10205
BID00075,False,,False,
BID00076,False,,False,
BID00077,True,DIPP78062,False,
BID00078,False,,False,
BID00079,False,,False,
BID00080,False,,False,
BID00081,False,,False,
BID00082,False,,False,
BID00083,False,,True,NSIC39552
BID00084,False,,False,
BID00085,True,DIPP99783,False,
BID00086,False,,False,
BID00087,False,,False,
BID00088,False,,False,
BID00089,False,,True,NSIC76809
BID00090,False,,False,
BID00091,False,,False,
BID00092,False,,False,
BID00093,False,,False,
BID00094,True,DIPP23178,False,
BID00095,False,,False,
BID00096,False,,False,
BID00097,True,DIPP62538,False,
BID00098,False,,False,
BID00099,False,,False,
BID00100,False,,True,NSIC64450
BID00101,False,,False,
BID00102,False,,False,
BID00103,False,,False,
BID00104,False,,False,
BID00105,False,,True,NSIC49306
BID00106,False,,False,
BID00107,False,,False,
BID00108,False,,False,
BID00109,False,,False,
BID00110,False,,False,
BID00111,False,,False,
BID00112,False,,False,
BID00113,True,DIPP51220,False,
BID00114,False,,True,NSIC52778
BID00115,False,,False,
BID00116,True,DIPP28198,False,
BID00117,False,,False,
BID00118,False,,False,
BID00119,False,,False,
BID00120,True,DIPP64827,False,
BID00121,False,,False,
BID00122,True,DIPP67431,False,
BID00123,False,,False,
BID00124,False,,False,
BID00125,False,,False,
BID00126,False,,True,NSIC51232
BID00127,False,,False,
BID00128,False,,False,
BID00129,False,,False,
BID00130,False,,False,
BID00131,False,,False,
BID00132,False,,False,
BID00133,True,DIPP10142,False,
BID00134,False,,False,
BID00135,False,,False,
BID00136,False,,False,
BID00137,True,DIPP32645,False,
BID00138,False,,False,
BID00139,False,,False,
BID00140,False,,False,
BID00141,False,,False,
BID00142,True,DIPP74665,False,
BID00143,False,,False,
BID00144,False,,False,
BID00145,False,,False,
BID00146,False,,False,
BID00147,False,,False,
BID00148,True,DIPP72787,False,
BID00149,False,,False,
BID00150,False,,False,
