tender_id,bidder_id,bid_submitted_date
TND004,BID00001,2021-02-13
TND003,BID00002,2024-12-08
TND002,BID00002,2024-12-08
TND004,BID00003,2018-10-20
TND002,BID00004,2018-09-29
TND003,BID00004,2018-09-29
TND002,BID00005,2019-10-18
TND001,BID00006,2022-11-16
TND002,BID00006,2022-11-16
TND003,BID00007,2020-09-13
TND001,BID00007,2020-09-13
TND003,BID00008,2021-06-30
TND002,BID00009,2018-10-18
TND001,BID00010,2022-07-08
TND002,BID00011,2019-01-18
TND001,BID00012,2023-06-17
TND004,BID00013,2018-06-12
TND002,BID00014,2018-10-28
TND003,BID00014,2018-10-28
TND004,BID00015,2019-03-01
TND002,BID00015,2019-03-01
TND002,BID00016,2018-06-30
TND001,BID00017,2020-10-19
TND004,BID00018,2019-10-15
TND002,BID00019,2023-09-18
TND004,BID00020,2020-02-18
TND001,BID00020,2020-02-18
TND002,BID00021,2019-12-14
TND001,BID00021,2019-12-14
TND002,BID00022,2018-12-14
TND003,BID00023,2020-06-15
TND004,BID00024,2023-06-08
TND004,BID00025,2022-05-15
TND001,BID00025,2022-05-15
TND004,BID00026,2023-06-13
TND002,BID00026,2023-06-13
TND002,BID00027,2018-12-02
TND003,BID00028,2020-06-11
TND004,BID00028,2020-06-11
TND002,BID00029,2021-05-20
TND004,BID00030,2019-09-19
TND003,BID00031,2024-11-04
TND003,BID00032,2023-05-05
TND003,BID00033,2021-06-09
TND001,BID00034,2023-07-04
TND004,BID00034,2023-07-04
TND002,BID00035,2022-04-08
TND002,BID00036,2023-01-20
TND002,BID00037,2019-08-06
TND001,BID00037,2019-08-06
TND004,BID00038,2018-06-14
TND004,BID00039,2022-06-29
TND001,BID00040,2022-12-16
TND004,BID00041,2019-04-27
TND001,BID00042,2021-10-24
TND004,BID00043,2020-08-14
TND002,BID00043,2020-08-14
TND003,BID00044,2018-03-04
TND004,BID00045,2018-05-28
TND002,BID00046,2019-08-20
TND002,BID00047,2021-05-10
TND004,BID00048,2023-07-28
TND001,BID00049,2018-05-17
TND003,BID00050,2023-04-03
TND004,BID00051,2020-08-15
TND003,BID00051,2020-08-15
TND004,BID00052,2024-01-11
TND001,BID00053,2021-02-04
TND001,BID00054,2019-08-16
TND004,BID00055,2022-01-22
TND004,BID00056,2022-12-22
TND001,BID00057,2023-02-01
TND004,BID00058,2024-04-19
TND002,BID00059,2024-06-09
TND003,BID00060,2023-12-13
TND004,BID00061,2021-03-06
TND004,BID00062,2022-10-30
TND001,BID00063,2022-11-24
TND001,BID00064,2019-02-26
TND001,BID00065,2024-08-19
TND002,BID00065,2024-08-19
TND001,BID00066,2019-02-28
TND001,BID00067,2021-10-02
TND004,BID00067,2021-10-02
TND002,BID00068,2022-10-01
TND002,BID00069,2019-06-21
TND002,BID00070,2022-02-15
TND001,BID00071,2023-10-15
TND002,BID00072,2018-04-26
TND004,BID00072,2018-04-26
TND003,BID00073,2024-02-26
TND002,BID00073,2024-02-26
TND001,BID00074,2020-09-17
TND003,BID00075,2020-11-04
TND001,BID00076,2023-02-18
TND004,BID00077,2023-07-31
TND002,BID00078,2022-12-24
TND002,BID00079,2019-06-02
TND003,BID00080,2020-12-08
TND001,BID00081,2018-09-23
TND003,BID00081,2018-09-23
TND003,BID00082,2018-12-20
TND004,BID00083,2019-09-19
TND003,BID00083,2019-09-19
TND001,BID00084,2024-10-14
TND003,BID00085,2020-09-30
TND001,BID00085,2020-09-30
TND004,BID00086,2024-04-19
TND004,BID00087,2020-05-31
TND004,BID00088,2024-03-16
TND002,BID00089,2023-10-13
TND004,BID00089,2023-10-13
TND003,BID00090,2024-06-27
TND004,BID00091,2024-11-09
TND002,BID00091,2024-11-09
TND003,BID00092,2023-06-07
TND002,BID00093,2022-12-17
TND003,BID00094,2021-09-14
TND002,BID00095,2024-01-01
TND004,BID00096,2024-10-04
TND001,BID00097,2023-10-12
TND003,BID00098,2020-08-25
TND004,BID00099,2020-06-13
TND003,BID00100,2022-12-15
TND003,BID00101,2021-03-21
TND003,BID00102,2022-05-29
TND001,BID00103,2022-09-14
TND003,BID00103,2022-09-14
TND001,BID00104,2023-08-26
TND004,BID00105,2023-07-24
TND002,BID00106,2018-11-20
TND004,BID00107,2018-03-04
TND003,BID00107,2018-03-04
TND004,BID00108,2022-02-27
TND002,BID00108,2022-02-27
TND001,BID00109,2023-06-25
TND002,BID00110,2022-08-17
TND002,BID00111,2019-03-15
TND003,BID00112,2022-07-19
TND003,BID00113,2021-01-15
TND003,BID00114,2021-11-17
TND004,BID00115,2021-01-02
TND003,BID00116,2018-02-20
TND002,BID00117,2019-07-09
TND002,BID00118,2022-06-20
TND001,BID00119,2023-03-06
TND002,BID00120,2023-12-29
TND001,BID00120,2023-12-29
TND004,BID00121,2022-10-30
TND003,BID00122,2021-11-27
TND002,BID00123,2021-09-17
TND002,BID00124,2019-02-21
TND002,BID00125,2021-05-03
TND001,BID00126,2019-11-15
TND002,BID00127,2024-05-04
TND004,BID00127,2024-05-04
TND001,BID00128,2020-10-10
TND003,BID00129,2021-08-18
TND004,BID00129,2021-08-18
TND004,BID00130,2022-05-28
TND001,BID00131,2019-01-17
TND003,BID00132,2018-07-18
TND002,BID00132,2018-07-18
TND004,BID00133,2019-01-09
TND002,BID00134,2021-07-07
TND003,BID00135,2018-12-22
TND001,BID00136,2023-10-22
TND004,BID00137,2022-02-05
TND001,BID00138,2022-07-06
TND001,BID00139,2018-02-21
TND004,BID00139,2018-02-21
TND003,BID00140,2023-11-16
TND002,BID00141,2021-08-11
TND004,BID00142,2022-02-17
TND002,BID00143,2021-06-13
TND003,BID00143,2021-06-13
TND004,BID00144,2019-06-20
TND003,BID00145,2021-05-31
TND004,BID00146,2024-03-03
TND002,BID00146,2024-03-03
TND001,BID00147,2019-11-20
TND003,BID00147,2019-11-20
