bidder_id,udyam_number,registered_name,registration_date,category,status
BID00001,UDYAM-UT-29-7536478,Universal Enterprises Ltd,2021-02-13,OEM,Active
BID00002,UDYAM-WE-11-9261705,Bharat Manufacturing Co LLP,2024-12-08,Medium,Active
BID00003,UDYAM-KA-86-4479145,Sai Suppliers LLP,2018-10-20,General,Active
BID00004,UDYAM-KA-41-6730429,Precision Constructions LLP,2018-09-29,Medium,Active
BID00005,UDYAM-MA-15-2564252,Universal Exports LLP,2019-10-18,General,Active
BID00006,UDYAM-DE-44-1871535,Vintage Steel Works Ltd,2022-11-16,Medium,Expired
BID00007,UDYAM-PU-40-4017344,Metro Manufacturing Co Private Limited,2020-09-13,Micro,Active
BID00008,UDYAM-MA-94-3374755,National Exports Private Limited,2021-06-30,General,Active
BID00009,UDYAM-DE-09-0527022,Metro Steel Works Pvt Ltd,2018-10-18,Medium,Active
BID00010,UDYAM-WE-87-1651178,Bharat Electronics Private Limited,2022-07-08,Micro,Active
BID00011,UDYAM-TE-07-9069561,Modern Manufacturing Co Ltd,2019-01-18,Micro,Active
BID00012,UDYAM-HA-90-9324246,Elite Electronics Private Limited,2023-06-17,General,Expired
BID00013,UDYAM-GU-32-9712651,Metro Infra Solutions Pvt Ltd,2018-06-12,OEM,Active
BID00014,UDYAM-KA-59-9445466,Krishna Manufacturing Co,2018-10-28,Micro,Active
BID00015,UDYAM-KA-71-5022742,Apex Enterprises Private Limited,2019-03-01,General,Active
BID00016,UDYAM-UT-12-7106423,Universal Technologies LLP,2018-06-30,Medium,Active
BID00017,UDYAM-MA-46-3524500,Bharat Exports Pvt Ltd,2020-10-19,General,Active
BID00018,UDYAM-TE-86-4163556,Reliable Technologies Private Limited,2019-10-15,Medium,Active
BID00019,UDYAM-TA-09-4682941,Elite Suppliers Private Limited,2023-09-18,Medium,Active
BID00020,UDYAM-KA-15-6462507,United Electricals Private Limited,2020-02-18,OEM,Active
BID00021,UDYAM-MA-54-6361003,Prime Textiles,2019-12-14,General,Active
BID00022,UDYAM-TA-95-2846950,Vishal Fabricators Private Limited,2018-12-14,General,Active
BID00023,UDYAM-MA-99-1788239,Vintage Enterprises & Co,2020-06-15,Startup,Active
BID00024,UDYAM-TE-32-4652513,Universal Textiles & Co,2023-06-08,OEM,Active
BID00025,UDYAM-WE-08-3470106,Prime Textiles Ltd,2022-05-15,Startup,Active
